 ,Area,Mean,Min,Max,X,Y
1,0.000,57,57,57,0.754,11.172
2,0.000,110,110,110,23.495,11.738
3,0.000,87,87,87,11.566,0.256
4,0.000,89,89,89,12.613,22.499
5,0.000,139,139,139,12.528,11.137
6,0.000,166,166,166,11.995,11.807
7,0.000,215,215,215,13.060,11.807
8,0.000,142,142,142,12.751,12.665
9,0.000,142,142,142,13.849,10.897
10,0.000,188,188,188,13.094,10.365
11,0.000,194,194,194,13.626,11.395
12,0.000,197,197,197,12.425,9.747
13,0.000,137,137,137,13.128,9.816
14,0.000,119,119,119,13.008,9.387
15,0.000,152,152,152,14.072,9.404
16,0.000,134,134,134,13.986,8.614
17,0.000,139,139,139,14.639,9.318
18,0.000,74,74,74,15.308,9.730
19,0.000,134,134,134,15.325,8.855
20,0.000,59,59,59,15.840,9.232
21,0.000,202,202,202,16.252,8.254
22,0.000,114,114,114,16.561,8.683
23,0.000,125,125,125,16.595,9.541
24,0.000,164,164,164,16.956,10.005
25,0.000,152,152,152,15.788,10.193
26,0.000,194,194,194,16.355,10.502
27,0.000,124,124,124,14.536,10.588
28,0.000,78,78,78,14.433,11.618
29,0.000,187,187,187,15.720,11.790
30,0.000,137,137,137,15.171,12.339
31,0.000,186,186,186,14.467,12.373
32,0.000,184,184,184,15.033,11.601
33,0.000,107,107,107,16.080,12.631
34,0.000,113,113,113,15.565,12.888
35,0.000,128,128,128,16.132,13.609
36,0.000,178,178,178,15.703,14.209
37,0.000,146,146,146,16.235,14.072
38,0.000,168,168,168,16.870,13.746
39,0.000,183,183,183,16.750,12.957
40,0.000,106,106,106,16.818,12.047
41,0.000,143,143,143,18.020,10.949
42,0.000,160,160,160,18.105,10.005
43,0.000,163,163,163,17.591,9.576
44,0.000,88,88,88,11.841,8.820
45,0.000,133,133,133,11.704,9.490
46,0.000,124,124,124,10.657,9.404
47,0.000,134,134,134,11.137,8.323
48,0.000,122,122,122,12.133,8.031
49,0.000,100,100,100,12.236,7.018
50,0.000,79,79,79,13.351,6.435
51,0.000,140,140,140,12.888,5.920
52,0.000,107,107,107,13.506,7.859
53,0.000,156,156,156,14.295,7.104
54,0.000,121,121,121,15.411,5.628
55,0.000,152,152,152,15.068,6.091
56,0.000,100,100,100,15.909,6.023
57,0.000,139,139,139,15.943,6.967
58,0.000,66,66,66,15.377,7.722
59,0.000,64,64,64,17.110,6.709
60,0.000,170,170,170,17.127,7.499
61,0.000,147,147,147,16.938,5.783
62,0.000,158,158,158,18.071,7.121
63,0.000,143,143,143,17.831,8.220
64,0.000,177,177,177,18.826,7.894
65,0.000,160,160,160,19.101,7.464
66,0.000,164,164,164,19.307,8.065
67,0.000,146,146,146,20.011,8.786
68,0.000,151,151,151,18.843,8.820
69,0.000,176,176,176,19.067,9.644
70,0.000,155,155,155,19.101,10.519
71,0.000,152,152,152,18.620,11.429
72,0.000,115,115,115,19.084,11.841
73,0.000,194,194,194,19.719,11.721
74,0.000,143,143,143,19.358,12.253
75,0.000,118,118,118,19.290,12.751
76,0.000,101,101,101,20.251,9.524
77,0.000,89,89,89,19.444,9.095
78,0.000,174,174,174,19.736,8.202
79,0.000,155,155,155,20.268,7.670
80,0.000,129,129,129,19.942,6.829
81,0.000,149,149,149,19.393,6.469
82,0.000,134,134,134,18.981,6.246
83,0.000,167,167,167,18.277,6.469
84,0.000,122,122,122,15.668,4.633
85,0.000,161,161,161,15.136,5.027
86,0.000,120,120,120,16.063,5.130
87,0.000,145,145,145,14.518,5.285
88,0.000,143,143,143,14.209,13.540
89,0.000,129,129,129,13.248,13.763
90,0.000,179,179,179,14.055,14.707
91,0.000,136,136,136,14.501,14.776
92,0.000,129,129,129,14.072,15.514
93,0.000,120,120,120,17.659,14.690
94,0.000,186,186,186,17.144,14.364
95,0.000,160,160,160,18.809,14.295
96,0.000,142,142,142,17.797,12.287
97,0.000,145,145,145,19.444,11.103
98,0.000,170,170,170,20.182,11.103
99,0.000,152,152,152,20.422,10.296
