 ,Area,Mean,Min,Max,X,Y
1,0.000,255,255,255,2.622,5.522
2,0.000,255,255,255,3.211,5.356
3,0.000,255,255,255,3.067,5.156
4,0.000,255,255,255,2.611,5.089
5,0.000,255,255,255,3.478,5.056
6,0.000,255,255,255,4.567,5.011
7,0.000,255,255,255,4.278,5.000
8,0.000,255,255,255,4.056,4.911
9,0.000,255,255,255,4.600,4.756
10,0.000,255,255,255,4.078,4.667
11,0.000,255,255,255,3.244,4.300
12,0.000,133,133,133,3.024,4.520
13,0.000,255,255,255,2.200,4.511
14,0.000,255,255,255,4.511,4.478
15,0.000,255,255,255,2.656,4.356
16,0.000,255,255,255,2.222,4.300
17,0.000,255,255,255,5.267,4.278
18,0.000,255,255,255,4.867,4.178
19,0.000,255,255,255,2.489,4.156
20,0.000,107,107,107,2.772,4.098
21,0.000,209,209,209,3.469,3.639
22,0.000,255,255,255,2.733,3.711
23,0.000,255,255,255,2.378,3.844
24,0.000,255,255,255,2.144,3.878
25,0.000,131,131,131,3.180,3.772
26,0.000,255,255,255,4.589,3.733
27,0.000,255,255,255,4.778,3.700
28,0.000,255,255,255,2.089,3.667
29,0.000,255,255,255,1.411,3.344
30,0.000,255,255,255,4.456,3.333
31,0.000,131,131,131,4.928,3.283
32,0.000,255,255,255,1.711,3.400
33,0.000,255,255,255,2.044,3.367
34,0.000,255,255,255,3.289,3.311
35,0.000,255,255,255,1.878,3.133
36,0.000,255,255,255,3.478,3.167
37,0.000,255,255,255,3.944,3.111
38,0.000,255,255,255,2.333,2.889
39,0.000,255,255,255,3.922,2.856
40,0.000,255,255,255,5.400,2.978
41,0.000,255,255,255,1.522,2.867
42,0.000,255,255,255,3.378,2.944
43,0.000,255,255,255,1.844,2.933
44,0.000,255,255,255,4.767,2.878
45,0.000,255,255,255,2.122,2.900
46,0.000,255,255,255,3.511,2.867
47,0.000,255,255,255,3.011,2.878
48,0.000,235,235,235,3.009,2.587
49,0.000,255,255,255,1.967,2.678
50,0.000,255,255,255,0.967,2.689
51,0.000,218,218,218,3.639,2.624
52,0.000,255,255,255,5.111,2.644
53,0.000,255,255,255,4.522,2.300
54,0.000,255,255,255,5.778,2.611
55,0.000,131,131,131,3.787,2.483
56,0.000,255,255,255,5.522,2.456
57,0.000,255,255,255,0.589,2.433
58,0.000,255,255,255,1.533,2.444
59,0.000,255,255,255,3.422,2.333
60,0.000,255,255,255,2.289,2.344
61,0.000,255,255,255,1.800,2.156
62,0.000,255,255,255,3.967,2.078
63,0.000,255,255,255,2.289,2.067
64,0.000,255,255,255,1.167,1.956
65,0.000,255,255,255,5.444,2.033
66,0.000,255,255,255,4.067,1.733
67,0.000,255,255,255,4.667,1.689
68,0.000,255,255,255,5.089,1.800
69,0.000,255,255,255,2.478,1.711
70,0.000,255,255,255,2.711,1.767
71,0.000,255,255,255,5.144,1.656
72,0.000,255,255,255,3.000,1.556
73,0.000,183,183,183,1.609,1.543
74,0.000,255,255,255,4.311,1.356
75,0.000,255,255,255,3.000,1.367
76,0.000,255,255,255,2.733,1.367
77,0.000,255,255,255,1.456,1.222
78,0.000,255,255,255,1.644,1.200
79,0.000,255,255,255,3.756,0.978
80,0.000,255,255,255,1.978,1.022
81,0.000,255,255,255,2.467,0.933
82,0.000,255,255,255,3.200,0.800
83,0.000,254,254,254,3.656,5.600
84,0.000,254,254,254,4.133,5.389
