 ,Area,Mean,Min,Max,X,Y
1,0.000,155,155,155,2.870,2.475
2,0.000,149,149,149,3.296,1.728
3,0.000,124,124,124,2.123,2.265
4,0.000,184,184,184,1.648,2.895
5,0.000,140,140,140,2.414,3.241
6,0.000,167,167,167,2.025,3.747
7,0.000,160,160,160,3.321,3.179
8,0.000,108,108,108,2.494,4.438
9,0.000,145,145,145,2.833,4.586
10,0.000,150,150,150,1.272,3.994
11,0.000,153,153,153,1.099,4.302
12,0.000,173,173,173,1.179,3.543
13,0.000,157,157,157,4.074,3.611
14,0.000,134,134,134,4.475,2.827
15,0.000,145,145,145,4.364,2.179
16,0.000,111,111,111,4.333,1.685
17,0.000,114,114,114,4.420,1.062
18,0.000,97,97,97,2.710,1.216
19,0.000,100,100,100,1.790,1.840
20,0.000,132,132,132,2.395,1.796
21,0.000,122,122,122,0.802,2.926
22,0.000,117,117,117,0.654,3.519
23,0.000,61,61,61,0.636,3.907
24,0.000,140,140,140,2.327,5.123
25,0.000,110,110,110,1.932,5.123
26,0.000,167,167,167,3.716,4.469
27,0.000,163,163,163,4.679,3.889
28,0.000,53,53,53,3.463,0.969
29,0.000,53,53,53,3.259,5.438
30,0.000,96,96,96,5.290,3.444
31,0.000,47,47,47,0.568,3.130
