 ,Area,Mean,Min,Max,X,Y
1,0.000,143,143,143,4.067,4.600
2,0.000,181,181,181,4.489,4.222
3,0.000,59,59,59,4.122,4.200
4,0.000,167,167,167,4.800,4.233
5,0.000,167,167,167,4.722,4.600
6,0.000,144,144,144,4.233,4.944
7,0.000,142,142,142,4.800,5.478
8,0.000,102,102,102,5.100,4.933
9,0.000,120,120,120,5.600,4.533
10,0.000,134,134,134,5.622,4.922
11,0.000,94,94,94,5.311,5.344
12,0.000,73,73,73,5.600,5.456
13,0.000,127,127,127,5.911,5.078
14,0.000,129,129,129,6.133,4.822
15,0.000,138,138,138,5.767,4.244
16,0.000,145,145,145,5.111,4.056
17,0.000,170,170,170,4.911,3.978
18,0.000,135,135,135,5.367,3.711
19,0.000,159,159,159,5.056,3.578
20,0.000,97,97,97,5.833,3.811
21,0.000,107,107,107,5.533,3.367
22,0.000,142,142,142,4.356,3.511
23,0.000,164,164,164,4.400,2.900
24,0.000,200,200,200,4.067,3.633
25,0.000,183,183,183,3.600,4.011
26,0.000,207,207,207,3.500,4.433
27,0.000,153,153,153,3.767,4.789
28,0.000,143,143,143,3.711,4.978
29,0.000,102,102,102,3.589,5.522
30,0.000,91,91,91,4.044,5.456
31,0.000,152,152,152,4.178,5.300
32,0.000,151,151,151,4.056,5.200
33,0.000,177,177,177,3.822,5.411
34,0.000,136,136,136,4.256,5.622
35,0.000,146,146,146,4.556,5.322
36,0.000,74,74,74,5.011,5.778
37,0.000,130,130,130,5.100,6.300
38,0.000,69,69,69,5.400,6.122
39,0.000,101,101,101,5.633,6.478
40,0.000,105,105,105,6.089,6.389
41,0.000,145,145,145,6.444,6.578
42,0.000,153,153,153,5.900,6.633
43,0.000,57,57,57,6.044,5.900
44,0.000,175,175,175,5.333,5.933
45,0.000,148,148,148,6.667,6.089
46,0.000,120,120,120,6.711,7.278
47,0.000,103,103,103,6.144,6.933
48,0.000,146,146,146,5.967,7.411
49,0.000,83,83,83,5.589,7.333
50,0.000,73,73,73,5.256,7.244
51,0.000,135,135,135,4.444,7.178
52,0.000,154,154,154,4.211,6.511
53,0.000,174,174,174,3.989,6.311
54,0.000,170,170,170,3.244,6.278
55,0.000,169,169,169,3.889,5.767
56,0.000,81,81,81,3.533,5.989
57,0.000,173,173,173,3.311,5.800
58,0.000,165,165,165,3.144,5.511
59,0.000,177,177,177,3.222,5.367
60,0.000,157,157,157,3.256,4.956
61,0.000,164,164,164,3.467,4.644
62,0.000,155,155,155,2.900,4.789
63,0.000,178,178,178,2.733,5.400
64,0.000,145,145,145,2.611,5.078
65,0.000,175,175,175,2.178,4.656
66,0.000,205,205,205,2.044,5.689
67,0.000,85,85,85,2.389,6.367
68,0.000,147,147,147,2.633,7.033
69,0.000,194,194,194,3.422,6.944
70,0.000,95,95,95,3.678,7.244
71,0.000,114,114,114,3.456,8.056
72,0.000,157,157,157,4.367,7.922
73,0.000,138,138,138,5.411,8.156
74,0.000,102,102,102,6.056,7.822
75,0.000,125,125,125,6.978,8.056
76,0.000,135,135,135,5.244,0.911
77,0.000,69,69,69,5.556,11.389
78,0.000,103,103,103,0.600,6.111
79,0.000,114,114,114,9.822,5.800
