 ,Area,Mean,Min,Max,X,Y
1,0.000,105,105,105,4.183,4.430
2,0.000,208,208,208,5.223,4.421
3,0.000,159,159,159,4.659,4.033
4,0.000,139,139,139,5.655,4.139
5,0.000,127,127,127,5.082,3.699
6,0.000,82,82,82,5.866,3.320
7,0.000,194,194,194,5.126,3.373
8,0.000,165,165,165,5.725,2.597
9,0.000,64,64,64,6.333,2.562
10,0.000,77,77,77,6.272,1.945
11,0.000,141,141,141,6.474,3.126
12,0.000,125,125,125,5.919,3.681
13,0.000,112,112,112,6.113,4.025
14,0.000,58,58,58,6.536,4.042
15,0.000,122,122,122,6.985,4.245
16,0.000,163,163,163,7.029,3.804
17,0.000,150,150,150,6.959,1.989
18,0.000,118,118,118,7.364,3.998
19,0.000,82,82,82,7.400,3.276
20,0.000,115,115,115,8.096,3.240
21,0.000,161,161,161,7.972,3.963
22,0.000,80,80,80,8.801,3.381
23,0.000,157,157,157,8.175,3.628
24,0.000,156,156,156,7.805,4.404
25,0.000,118,118,118,7.188,5.029
26,0.000,248,248,248,8.457,4.765
27,0.000,116,116,116,7.637,5.628
28,0.000,152,152,152,6.968,5.558
29,0.000,199,199,199,7.285,6.060
30,0.000,247,247,247,7.972,6.333
31,0.000,248,248,248,8.721,6.184
32,0.000,205,205,205,7.558,7.118
33,0.000,228,228,228,7.267,6.871
34,0.000,172,172,172,6.651,6.932
35,0.000,195,195,195,7.029,6.404
36,0.000,213,213,213,6.659,6.360
37,0.000,255,255,255,6.659,5.893
38,0.000,161,161,161,6.369,5.355
39,0.000,129,129,129,6.747,5.161
40,0.000,217,217,217,6.510,4.827
41,0.000,155,155,155,5.805,4.888
42,0.000,97,97,97,4.756,4.597
43,0.000,160,160,160,5.584,5.267
44,0.000,214,214,214,5.549,5.769
45,0.000,197,197,197,4.782,5.796
46,0.000,174,174,174,4.562,5.135
47,0.000,233,233,233,4.016,5.126
48,0.000,149,149,149,4.245,5.558
49,0.000,208,208,208,4.439,5.937
50,0.000,164,164,164,4.086,5.769
51,0.000,159,159,159,4.439,5.390
52,0.000,170,170,170,4.703,6.166
53,0.000,158,158,158,4.686,6.633
54,0.000,167,167,167,5.355,6.562
55,0.000,235,235,235,5.796,6.571
56,0.000,224,224,224,5.637,7.038
57,0.000,154,154,154,6.430,7.347
58,0.000,185,185,185,5.805,7.673
59,0.000,206,206,206,6.333,6.968
60,0.000,152,152,152,6.598,8.008
61,0.000,239,239,239,7.144,7.893
62,0.000,235,235,235,7.003,8.492
63,0.000,77,77,77,6.166,7.928
64,0.000,223,223,223,6.201,8.281
65,0.000,255,255,255,5.549,8.087
66,0.000,84,84,84,5.276,8.571
67,0.000,191,191,191,5.787,8.906
68,0.000,134,134,134,6.307,8.704
69,0.000,202,202,202,6.659,9.558
70,0.000,131,131,131,7.144,9.320
71,0.000,227,227,227,4.456,7.787
72,0.000,182,182,182,3.945,6.536
73,0.000,188,188,188,4.236,6.280
74,0.000,125,125,125,3.566,6.051
75,0.000,111,111,111,3.584,6.457
76,0.000,160,160,160,3.135,5.188
77,0.000,224,224,224,3.505,5.346
78,0.000,58,58,58,6.554,0.685
79,0.000,116,116,116,6.228,10.801
80,0.000,52,52,52,1.082,6.043
81,0.000,77,77,77,10.818,6.395
