 ,Area,Mean,Min,Max,X,Y
1,0.000,172,172,172,2.759,2.364
2,0.000,113,113,113,2.512,2.123
3,0.000,152,152,152,1.895,2.210
4,0.000,140,140,140,1.611,3.160
5,0.000,166,166,166,2.284,3.309
6,0.000,173,173,173,2.636,3.031
7,0.000,182,182,182,3.469,3.228
8,0.000,148,148,148,3.790,1.827
9,0.000,156,156,156,4.062,1.802
10,0.000,173,173,173,3.099,1.340
11,0.000,137,137,137,2.259,1.364
12,0.000,98,98,98,2.395,0.944
13,0.000,60,60,60,2.914,0.605
14,0.000,62,62,62,3.012,4.198
15,0.000,78,78,78,1.296,2.407
16,0.000,115,115,115,4.889,2.401
17,0.000,147,147,147,4.340,2.759
18,0.000,155,155,155,4.321,3.247
19,0.000,165,165,165,3.772,3.654
20,0.000,107,107,107,3.364,1.012
21,0.000,125,125,125,3.716,0.963
22,0.000,95,95,95,4.228,1.093
23,0.000,118,118,118,4.463,1.389
24,0.000,131,131,131,4.593,1.698
