 ,Area,Mean,Min,Max,X,Y
1,0.000,85,85,85,7.404,0.248
2,0.000,39,39,39,7.913,15.303
3,0.000,62,62,62,0.289,8.078
4,0.000,125,125,125,14.518,8.422
5,0.000,77,77,77,6.674,5.367
6,0.000,35,35,35,8.064,5.642
7,0.000,104,104,104,7.817,6.537
8,0.000,128,128,128,7.885,7.060
9,0.000,127,127,127,6.688,6.798
10,0.000,100,100,100,7.528,7.651
11,0.000,132,132,132,7.266,7.885
12,0.000,173,173,173,7.472,8.573
13,0.000,178,178,178,8.106,8.009
14,0.000,166,166,166,8.395,7.390
15,0.000,174,174,174,6.647,7.720
16,0.000,142,142,142,6.179,6.963
17,0.000,35,35,35,5.573,6.372
18,0.000,155,155,155,5.601,7.252
19,0.000,140,140,140,5.188,7.046
20,0.000,228,228,228,5.092,6.096
21,0.000,160,160,160,4.225,5.917
22,0.000,179,179,179,4.899,5.615
23,0.000,125,125,125,4.486,6.936
24,0.000,179,179,179,4.968,8.271
25,0.000,73,73,73,5.518,8.436
26,0.000,250,250,250,4.954,9.096
27,0.000,217,217,217,5.766,9.372
28,0.000,206,206,206,6.385,8.862
29,0.000,145,145,145,8.050,9.564
30,0.000,86,86,86,7.225,9.798
31,0.000,148,148,148,6.977,9.000
32,0.000,42,42,42,9.771,7.183
33,0.000,164,164,164,8.972,6.895
34,0.000,34,34,34,8.546,6.537
35,0.000,167,167,167,9.165,6.372
36,0.000,67,67,67,10.335,6.647
37,0.000,41,41,41,10.761,6.578
38,0.000,102,102,102,10.087,5.560
39,0.000,114,114,114,8.739,5.450
40,0.000,221,221,221,9.096,4.734
41,0.000,165,165,165,8.587,3.798
42,0.000,96,96,96,8.326,3.083
43,0.000,97,97,97,7.142,4.197
44,0.000,114,114,114,6.950,5.216
45,0.000,97,97,97,8.422,4.376
46,0.000,131,131,131,5.972,4.128
47,0.000,134,134,134,5.408,4.321
48,0.000,188,188,188,6.234,5.050
49,0.000,87,87,87,7.514,3.509
50,0.000,98,98,98,7.073,3.275
51,0.000,151,151,151,6.853,2.725
52,0.000,125,125,125,7.569,2.972
53,0.000,145,145,145,8.711,2.780
54,0.000,139,139,139,8.546,1.913
55,0.000,229,229,229,9.812,8.009
56,0.000,151,151,151,9.688,8.408
57,0.000,107,107,107,8.862,10.101
58,0.000,84,84,84,8.670,10.885
59,0.000,92,92,92,7.913,10.349
60,0.000,224,224,224,9.427,10.954
61,0.000,166,166,166,7.005,10.514
62,0.000,172,172,172,6.812,11.532
63,0.000,208,208,208,7.830,11.725
64,0.000,177,177,177,8.601,11.972
65,0.000,60,60,60,8.587,12.509
66,0.000,87,87,87,8.147,12.482
67,0.000,133,133,133,7.803,12.839
68,0.000,179,179,179,6.757,12.495
69,0.000,218,218,218,10.005,10.610
70,0.000,157,157,157,10.266,9.812
71,0.000,182,182,182,10.789,8.573
72,0.000,187,187,187,11.147,7.404
73,0.000,121,121,121,5.601,10.486
74,0.000,195,195,195,6.151,11.050
75,0.000,238,238,238,6.138,11.463
76,0.000,186,186,186,5.546,11.436
77,0.000,59,59,59,5.009,10.706
78,0.000,89,89,89,4.569,10.087
79,0.000,131,131,131,4.170,8.794
80,0.000,105,105,105,4.101,7.995
81,0.000,163,163,163,3.564,7.982
82,0.000,87,87,87,3.537,8.463
83,0.000,185,185,185,2.945,7.266
84,0.000,123,123,123,3.894,7.142
85,0.000,32,32,32,3.550,6.550
86,0.000,229,229,229,2.752,6.564
87,0.000,143,143,143,3.771,6.000
88,0.000,145,145,145,4.101,5.408
89,0.000,55,55,55,5.092,4.830
90,0.000,58,58,58,4.032,4.665
91,0.000,122,122,122,11.986,7.252
92,0.000,182,182,182,12.743,7.638
93,0.000,119,119,119,11.794,9.000
94,0.000,181,181,181,11.876,9.468
95,0.000,136,136,136,11.450,9.716
96,0.000,128,128,128,10.761,10.830
97,0.000,159,159,159,10.872,11.477
98,0.000,85,85,85,11.986,10.101
99,0.000,215,215,215,12.633,9.633
100,0.000,188,188,188,12.564,9.028
101,0.000,188,188,188,13.445,7.486
102,0.000,188,188,188,13.445,6.881
103,0.000,174,174,174,12.936,6.523
104,0.000,101,101,101,12.826,5.450
105,0.000,159,159,159,12.661,6.096
106,0.000,196,196,196,13.569,6.028
107,0.000,214,214,214,11.229,4.555
108,0.000,101,101,101,11.972,5.202
109,0.000,95,95,95,12.440,4.775
110,0.000,133,133,133,4.528,2.931
111,0.000,41,41,41,5.573,3.317
