 ,Area,Mean,Min,Max,X,Y
1,0.000,90,90,90,0.606,9.511
2,0.000,132,132,132,20.665,10.005
3,0.000,87,87,87,10.388,0.644
4,0.000,76,76,76,11.261,18.856
5,0.000,176,176,176,8.899,10.346
6,0.000,106,106,106,7.686,10.984
7,0.000,196,196,196,8.835,11.282
8,0.000,97,97,97,6.793,10.707
9,0.000,199,199,199,6.410,11.324
10,0.000,220,220,220,7.048,12.197
11,0.000,157,157,157,6.324,12.388
12,0.000,254,254,254,6.835,12.856
13,0.000,163,163,163,7.005,13.601
14,0.000,132,132,132,6.410,13.261
15,0.000,170,170,170,6.473,14.090
16,0.000,76,76,76,7.410,14.176
17,0.000,205,205,205,8.133,14.410
18,0.000,123,123,123,7.729,14.750
19,0.000,123,123,123,8.367,13.473
20,0.000,208,208,208,7.516,13.090
21,0.000,155,155,155,8.963,12.920
22,0.000,97,97,97,9.154,13.686
23,0.000,55,55,55,9.686,14.027
24,0.000,123,123,123,8.878,14.133
25,0.000,138,138,138,9.707,11.303
26,0.000,129,129,129,8.410,9.367
27,0.000,141,141,141,8.154,9.963
28,0.000,173,173,173,5.665,10.431
29,0.000,242,242,242,5.048,11.218
30,0.000,199,199,199,5.112,12.261
31,0.000,169,169,169,5.835,12.941
32,0.000,145,145,145,5.154,13.261
33,0.000,185,185,185,5.835,13.686
34,0.000,160,160,160,5.218,13.856
35,0.000,176,176,176,5.495,14.452
36,0.000,155,155,155,4.559,14.218
37,0.000,173,173,173,4.452,13.452
38,0.000,152,152,152,4.495,12.495
39,0.000,255,255,255,4.580,11.686
40,0.000,178,178,178,4.239,10.644
41,0.000,149,149,149,5.069,10.027
42,0.000,202,202,202,5.750,9.346
43,0.000,76,76,76,5.176,8.963
44,0.000,117,117,117,4.154,9.622
45,0.000,126,126,126,4.133,8.750
46,0.000,239,239,239,4.686,8.388
47,0.000,169,169,169,3.303,9.644
48,0.000,196,196,196,3.048,10.495
49,0.000,196,196,196,3.495,11.154
50,0.000,125,125,125,3.495,12.069
51,0.000,196,196,196,3.750,12.814
52,0.000,219,219,219,3.324,13.303
53,0.000,194,194,194,2.984,12.133
54,0.000,196,196,196,2.367,10.410
55,0.000,152,152,152,2.601,11.473
56,0.000,94,94,94,3.388,8.431
57,0.000,216,216,216,3.090,7.793
58,0.000,170,170,170,2.835,8.601
59,0.000,149,149,149,3.963,6.601
60,0.000,207,207,207,4.622,7.303
61,0.000,217,217,217,5.899,6.793
62,0.000,198,198,198,5.771,5.984
63,0.000,59,59,59,4.963,6.452
64,0.000,131,131,131,7.750,6.516
65,0.000,167,167,167,7.133,6.878
66,0.000,195,195,195,8.154,7.154
67,0.000,128,128,128,7.580,5.452
68,0.000,154,154,154,7.771,4.622
69,0.000,202,202,202,7.154,4.941
70,0.000,187,187,187,6.516,4.793
71,0.000,145,145,145,7.090,4.154
72,0.000,164,164,164,8.644,4.303
73,0.000,202,202,202,8.495,5.090
74,0.000,100,100,100,9.367,4.601
75,0.000,198,198,198,10.090,4.452
76,0.000,217,217,217,10.537,3.835
77,0.000,110,110,110,9.644,3.707
78,0.000,181,181,181,9.282,3.112
79,0.000,169,169,169,8.665,3.324
80,0.000,149,149,149,7.239,2.984
81,0.000,182,182,182,6.516,3.367
82,0.000,158,158,158,17.920,8.048
83,0.000,116,116,116,17.261,8.388
84,0.000,113,113,113,18.005,8.580
85,0.000,145,145,145,17.941,6.665
86,0.000,132,132,132,17.750,7.069
87,0.000,91,91,91,18.261,7.154
88,0.000,72,72,72,16.835,5.559
89,0.000,134,134,134,16.324,5.835
90,0.000,202,202,202,17.027,6.090
91,0.000,182,182,182,16.112,4.963
92,0.000,176,176,176,15.644,5.537
93,0.000,94,94,94,18.431,5.495
94,0.000,170,170,170,19.239,6.346
95,0.000,185,185,185,18.176,6.090
96,0.000,147,147,147,16.729,10.559
97,0.000,91,91,91,16.133,10.941
98,0.000,219,219,219,16.601,11.388
99,0.000,160,160,160,17.814,11.963
100,0.000,100,100,100,18.005,12.537
101,0.000,100,100,100,17.410,12.303
