 ,Area,Mean,Min,Max,X,Y
1,0.000,240,240,240,2.978,4.533
2,0.000,250,250,250,3.878,4.378
3,0.000,230,230,230,1.833,4.356
4,0.000,230,230,230,2.856,4.256
5,0.000,238,238,238,4.156,4.200
6,0.000,230,230,230,2.744,4.189
7,0.000,235,235,235,4.356,4.033
8,0.000,228,228,228,4.678,3.956
9,0.000,230,230,230,2.211,3.978
10,0.000,234,234,234,3.889,3.956
11,0.000,237,237,237,3.211,3.856
12,0.000,228,228,228,3.711,3.778
13,0.000,230,230,230,2.678,3.767
14,0.000,245,245,245,2.322,3.656
15,0.000,230,230,230,2.878,3.556
16,0.000,255,255,255,4.678,3.578
17,0.000,228,228,228,4.144,3.467
18,0.000,245,245,245,4.556,3.533
19,0.000,233,233,233,3.478,3.444
20,0.000,237,237,237,2.967,3.478
21,0.000,228,228,228,4.900,3.467
22,0.000,252,252,252,3.233,3.411
23,0.000,240,240,240,2.211,3.333
24,0.000,228,228,228,2.767,3.311
25,0.000,234,234,234,4.544,3.289
26,0.000,247,247,247,3.344,3.222
27,0.000,237,237,237,2.044,3.233
28,0.000,232,232,232,5.233,3.222
29,0.000,235,235,235,2.189,3.156
30,0.000,240,240,240,2.667,3.167
31,0.000,233,233,233,2.522,3.156
32,0.000,232,232,232,3.956,3.122
33,0.000,230,230,230,4.267,3.111
34,0.000,240,240,240,4.211,3.033
35,0.000,230,230,230,3.000,2.933
36,0.000,230,230,230,4.222,2.800
37,0.000,255,255,255,3.200,2.900
38,0.000,230,230,230,1.844,2.900
39,0.000,255,255,255,3.489,2.867
40,0.000,230,230,230,2.344,2.878
41,0.000,228,228,228,4.533,2.789
42,0.000,233,233,233,2.133,2.856
43,0.000,232,232,232,4.989,2.689
44,0.000,228,228,228,2.500,2.711
45,0.000,230,230,230,1.800,2.756
46,0.000,228,228,228,3.411,2.733
47,0.000,255,255,255,2.122,2.733
48,0.000,237,237,237,3.778,2.656
49,0.000,246,246,246,2.733,2.578
50,0.000,233,233,233,3.078,2.544
51,0.000,230,230,230,1.878,2.544
52,0.000,235,235,235,5.200,2.322
53,0.000,237,237,237,5.000,2.256
54,0.000,232,232,232,3.444,2.233
55,0.000,230,230,230,4.044,2.056
56,0.000,232,232,232,4.844,2.200
57,0.000,230,230,230,2.156,2.089
58,0.000,152,152,152,3.150,1.944
59,0.000,228,228,228,2.944,1.956
60,0.000,237,237,237,3.278,1.811
61,0.000,228,228,228,3.967,1.744
62,0.000,232,232,232,3.233,1.656
63,0.000,243,243,243,4.433,1.444
64,0.000,228,228,228,2.222,1.478
65,0.000,253,253,253,4.433,1.200
66,0.000,227,227,227,3.633,4.067
67,0.000,227,227,227,3.133,1.656
68,0.000,226,226,226,3.322,4.344
69,0.000,226,226,226,3.000,1.811
70,0.000,225,225,225,4.478,2.367
71,0.000,224,224,224,3.333,4.656
72,0.000,224,224,224,3.022,4.300
73,0.000,224,224,224,4.578,1.944
74,0.000,222,222,222,1.844,2.100
75,0.000,222,222,222,4.656,1.367
76,0.000,221,221,221,3.256,4.611
77,0.000,221,221,221,2.667,3.533
78,0.000,221,221,221,2.822,0.989
79,0.000,219,219,219,4.011,2.556
80,0.000,219,219,219,5.156,1.433
81,0.000,219,219,219,4.744,0.944
82,0.000,218,218,218,3.689,2.989
83,0.000,218,218,218,3.922,1.633
84,0.000,217,217,217,4.611,4.256
85,0.000,217,217,217,5.122,3.633
86,0.000,217,217,217,1.967,2.022
87,0.000,214,214,214,2.733,3.967
88,0.000,214,214,214,3.778,3.678
89,0.000,214,214,214,4.878,2.933
90,0.000,214,214,214,5.089,1.622
91,0.000,213,213,213,3.144,4.078
92,0.000,213,213,213,3.878,0.911
93,0.000,212,212,212,3.667,4.722
94,0.000,208,208,208,3.178,4.733
95,0.000,208,208,208,2.633,2.378
96,0.000,208,208,208,3.800,1.900
97,0.000,208,208,208,3.800,1.711
98,0.000,207,207,207,2.333,2.633
99,0.000,206,206,206,2.289,1.578
100,0.000,205,205,205,3.878,1.589
101,0.000,205,205,205,2.967,1.100
102,0.000,204,204,204,3.500,4.578
103,0.000,204,204,204,2.156,4.400
104,0.000,204,204,204,1.478,3.478
105,0.000,202,202,202,3.011,1.189
106,0.000,202,202,202,4.589,1.011
107,0.000,202,202,202,3.678,1.011
108,0.000,201,201,201,2.389,4.633
109,0.000,201,201,201,3.489,1.333
110,0.000,200,200,200,2.178,3.656
111,0.000,198,198,198,3.989,4.633
112,0.000,198,198,198,3.678,4.344
113,0.000,198,198,198,1.911,2.233
114,0.000,198,198,198,3.322,1.067
115,0.000,197,197,197,5.311,1.544
116,0.000,197,197,197,1.700,1.189
117,0.000,197,197,197,3.689,0.556
118,0.000,195,195,195,3.756,4.233
119,0.000,195,195,195,4.089,1.111
120,0.000,194,194,194,3.756,2.156
121,0.000,194,194,194,1.611,1.522
122,0.000,193,193,193,3.622,1.656
123,0.000,193,193,193,1.678,1.056
124,0.000,192,192,192,2.522,1.033
125,0.000,191,191,191,1.567,4.167
126,0.000,191,191,191,1.778,3.778
