 ,Area,Mean,Min,Max,X,Y
1,0.000,134,134,134,6.865,8.752
2,0.000,132,132,132,6.467,7.831
3,0.000,140,140,140,5.591,8.354
4,0.000,68,68,68,6.387,8.661
5,0.000,134,134,134,6.012,8.536
6,0.000,113,113,113,6.308,9.787
7,0.000,194,194,194,5.910,10.003
8,0.000,191,191,191,6.092,9.502
9,0.000,107,107,107,5.671,9.434
10,0.000,170,170,170,5.227,8.707
11,0.000,163,163,163,6.069,7.160
12,0.000,139,139,139,6.592,6.705
13,0.000,118,118,118,6.944,6.933
14,0.000,148,148,148,7.592,7.888
15,0.000,156,156,156,7.172,7.615
16,0.000,152,152,152,7.740,7.524
17,0.000,145,145,145,8.206,8.934
18,0.000,106,106,106,8.388,7.138
19,0.000,179,179,179,8.422,6.796
20,0.000,151,151,151,7.865,6.615
21,0.000,197,197,197,8.923,7.058
22,0.000,211,211,211,10.116,7.058
23,0.000,183,183,183,9.696,7.888
24,0.000,160,160,160,9.923,8.570
25,0.000,158,158,158,10.162,8.058
26,0.000,176,176,176,9.195,9.116
27,0.000,80,80,80,8.479,9.286
28,0.000,172,172,172,7.865,9.696
29,0.000,76,76,76,8.570,9.878
30,0.000,161,161,161,7.331,9.900
31,0.000,165,165,165,7.183,10.094
32,0.000,172,172,172,7.035,9.230
33,0.000,128,128,128,6.569,10.560
34,0.000,181,181,181,6.376,10.719
35,0.000,210,210,210,5.841,10.662
36,0.000,44,44,44,6.137,10.298
37,0.000,146,146,146,6.808,11.231
38,0.000,139,139,139,7.535,11.026
39,0.000,174,174,174,7.399,11.674
40,0.000,214,214,214,6.728,11.765
41,0.000,163,163,163,8.206,11.287
42,0.000,136,136,136,9.093,11.151
43,0.000,60,60,60,9.377,10.878
44,0.000,122,122,122,9.707,10.423
45,0.000,116,116,116,10.401,8.877
46,0.000,160,160,160,11.333,8.297
47,0.000,178,178,178,10.889,7.729
48,0.000,202,202,202,11.390,6.910
49,0.000,147,147,147,10.855,6.990
50,0.000,86,86,86,10.548,7.433
51,0.000,186,186,186,9.514,7.092
52,0.000,137,137,137,9.355,6.444
53,0.000,143,143,143,11.140,5.898
54,0.000,134,134,134,11.719,5.785
55,0.000,87,87,87,12.072,6.137
56,0.000,71,71,71,12.345,5.398
57,0.000,61,61,61,7.263,0.293
58,0.000,115,115,115,7.626,14.653
59,0.000,44,44,44,0.566,6.990
60,0.000,82,82,82,14.414,7.035
61,0.000,132,132,132,12.072,7.979
62,0.000,177,177,177,11.390,7.331
63,0.000,111,111,111,11.913,8.502
64,0.000,166,166,166,11.992,9.002
65,0.000,132,132,132,11.481,9.059
66,0.000,217,217,217,11.424,9.434
67,0.000,121,121,121,10.639,9.809
68,0.000,127,127,127,10.867,10.446
69,0.000,190,190,190,11.901,9.957
70,0.000,158,158,158,6.137,5.296
71,0.000,164,164,164,6.035,6.001
72,0.000,133,133,133,6.978,5.466
73,0.000,143,143,143,6.819,4.602
74,0.000,152,152,152,7.535,4.989
75,0.000,131,131,131,8.616,5.955
76,0.000,174,174,174,8.593,5.068
77,0.000,161,161,161,8.354,5.307
78,0.000,84,84,84,7.058,3.874
79,0.000,143,143,143,6.126,4.784
80,0.000,35,35,35,5.534,4.068
81,0.000,123,123,123,5.171,4.454
82,0.000,137,137,137,5.023,5.398
83,0.000,67,67,67,5.375,6.262
84,0.000,211,211,211,4.750,6.637
85,0.000,120,120,120,5.432,7.422
86,0.000,146,146,146,5.091,7.604
87,0.000,142,142,142,5.023,8.274
88,0.000,168,168,168,4.113,7.604
89,0.000,101,101,101,4.204,8.491
90,0.000,133,133,133,4.693,9.355
91,0.000,64,64,64,8.525,7.729
92,0.000,161,161,161,9.320,8.593
93,0.000,131,131,131,6.387,3.090
94,0.000,92,92,92,7.183,2.965
95,0.000,130,130,130,7.842,3.329
96,0.000,158,158,158,7.456,3.681
97,0.000,114,114,114,8.184,3.579
98,0.000,48,48,48,8.581,2.783
99,0.000,103,103,103,8.104,2.772
100,0.000,128,128,128,8.491,4.113
101,0.000,80,80,80,9.400,4.261
102,0.000,134,134,134,11.560,4.852
103,0.000,93,93,93,12.402,4.386
104,0.000,147,147,147,8.388,11.935
105,0.000,125,125,125,9.241,11.810
106,0.000,151,151,151,9.832,11.526
107,0.000,168,168,168,12.754,7.160
108,0.000,113,113,113,13.550,6.228
109,0.000,110,110,110,13.129,5.591
110,0.000,103,103,103,12.731,6.137
111,0.000,114,114,114,5.966,2.669
112,0.000,123,123,123,5.728,2.271
113,0.000,119,119,119,5.694,2.692
114,0.000,87,87,87,5.898,3.045
115,0.000,123,123,123,5.830,3.351
116,0.000,102,102,102,5.398,3.113
117,0.000,146,146,146,5.046,3.181
118,0.000,112,112,112,5.534,3.431
119,0.000,111,111,111,6.296,2.055
120,0.000,59,59,59,6.546,2.476
121,0.000,148,148,148,4.261,9.070
122,0.000,149,149,149,3.249,9.457
