 ,Area,Mean,Min,Max,X,Y
1,0.000,143,143,143,18.862,14.628
2,0.000,27,27,27,19.069,13.836
3,0.000,132,132,132,19.103,13.389
4,0.000,112,112,112,19.723,13.561
5,0.000,94,94,94,20.480,13.251
6,0.000,161,161,161,21.237,13.354
7,0.000,104,104,104,20.962,12.597
8,0.000,137,137,137,21.788,12.562
9,0.000,175,175,175,22.477,12.666
10,0.000,130,130,130,23.028,13.079
11,0.000,155,155,155,22.787,13.905
12,0.000,40,40,40,21.754,13.974
13,0.000,137,137,137,22.029,14.490
14,0.000,136,136,136,21.031,14.456
15,0.000,97,97,97,20.549,14.628
16,0.000,192,192,192,21.375,15.523
17,0.000,30,30,30,22.305,15.523
18,0.000,100,100,100,22.890,15.351
19,0.000,119,119,119,23.269,14.903
20,0.000,66,66,66,23.682,14.766
21,0.000,96,96,96,23.957,14.628
22,0.000,66,66,66,24.129,14.111
23,0.000,91,91,91,25.162,14.008
24,0.000,128,128,128,25.196,14.869
25,0.000,185,185,185,24.818,15.351
26,0.000,37,37,37,25.300,15.833
27,0.000,65,65,65,25.093,16.280
28,0.000,75,75,75,24.680,16.384
29,0.000,128,128,128,23.991,17.141
30,0.000,68,68,68,23.234,17.210
31,0.000,153,153,153,22.649,17.003
32,0.000,154,154,154,21.926,16.659
33,0.000,150,150,150,21.478,16.452
34,0.000,75,75,75,21.065,16.831
35,0.000,37,37,37,21.960,17.451
36,0.000,121,121,121,22.752,17.898
37,0.000,118,118,118,23.475,18.036
38,0.000,172,172,172,25.816,17.175
39,0.000,97,97,97,26.608,16.280
40,0.000,108,108,108,26.849,15.557
41,0.000,129,129,129,27.055,15.075
42,0.000,104,104,104,26.367,14.215
43,0.000,115,115,115,25.782,13.836
44,0.000,132,132,132,26.401,13.285
45,0.000,98,98,98,24.887,12.975
46,0.000,62,62,62,24.714,12.321
47,0.000,54,54,54,24.026,12.287
48,0.000,255,255,255,24.336,11.943
49,0.000,130,130,130,24.301,11.564
50,0.000,232,232,232,20.274,12.115
51,0.000,59,59,59,19.654,12.252
52,0.000,218,218,218,18.518,12.769
53,0.000,11,11,11,18.415,14.008
54,0.000,134,134,134,17.795,14.525
55,0.000,93,93,93,18.380,15.592
56,0.000,150,150,150,19.310,15.420
57,0.000,112,112,112,19.895,15.936
58,0.000,125,125,125,21.616,18.070
59,0.000,15,15,15,23.028,18.724
60,0.000,68,68,68,23.751,18.897
61,0.000,116,116,116,27.159,17.210
62,0.000,27,27,27,27.950,16.762
63,0.000,52,52,52,28.260,15.970
64,0.000,143,143,143,27.882,15.970
65,0.000,19,19,19,28.123,15.075
66,0.000,11,11,11,27.537,14.628
67,0.000,94,94,94,27.537,14.077
68,0.000,32,32,32,27.572,13.457
69,0.000,150,150,150,27.193,12.218
70,0.000,87,87,87,26.367,11.805
71,0.000,37,37,37,25.575,11.426
72,0.000,157,157,157,24.887,11.013
73,0.000,18,18,18,25.644,10.841
74,0.000,6,6,6,24.852,10.256
75,0.000,80,80,80,25.575,9.877
76,0.000,50,50,50,26.573,10.979
77,0.000,44,44,44,25.782,10.497
78,0.000,87,87,87,27.090,11.736
79,0.000,87,87,87,28.604,12.218
80,0.000,86,86,86,28.536,12.803
81,0.000,43,43,43,29.155,13.526
82,0.000,36,36,36,28.777,13.870
83,0.000,94,94,94,28.914,14.662
84,0.000,180,180,180,29.190,15.626
85,0.000,98,98,98,29.465,16.315
86,0.000,98,98,98,29.431,16.624
87,0.000,109,109,109,28.742,17.588
88,0.000,68,68,68,28.123,18.174
89,0.000,175,175,175,26.573,19.103
90,0.000,50,50,50,26.023,19.172
91,0.000,96,96,96,19.172,16.900
92,0.000,171,171,171,19.551,16.590
93,0.000,168,168,168,17.967,16.590
94,0.000,207,207,207,17.141,15.661
95,0.000,34,34,34,17.141,14.456
96,0.000,130,130,130,17.175,13.423
97,0.000,155,155,155,17.864,13.148
98,0.000,178,178,178,18.174,11.874
99,0.000,221,221,221,19.034,11.667
100,0.000,218,218,218,19.654,11.254
101,0.000,225,225,225,23.751,10.221
102,0.000,129,129,129,23.578,11.048
103,0.000,96,96,96,23.785,11.426
104,0.000,69,69,69,22.442,0.548
105,0.000,93,93,93,23.234,44.061
106,0.000,61,61,61,0.548,21.960
107,0.000,109,109,109,43.683,20.756
108,0.000,168,168,168,21.341,11.564
109,0.000,73,73,73,22.236,11.323
110,0.000,107,107,107,22.442,10.875
