 ,Area,Mean,Min,Max,X,Y
1,0.000,74,74,74,18.332,0.884
2,0.000,77,77,77,17.655,33.750
3,0.000,79,79,79,1.092,16.666
4,0.000,57,57,57,34.713,16.926
5,0.000,131,131,131,17.369,15.155
6,0.000,82,82,82,17.890,14.504
7,0.000,58,58,58,18.489,14.478
8,0.000,130,130,130,17.734,13.827
9,0.000,119,119,119,17.786,13.489
10,0.000,129,129,129,18.463,13.462
11,0.000,112,112,112,19.114,13.879
12,0.000,89,89,89,19.635,14.192
13,0.000,119,119,119,19.843,14.504
14,0.000,89,89,89,19.036,15.077
15,0.000,95,95,95,20.208,14.791
16,0.000,71,71,71,20.234,15.494
17,0.000,93,93,93,19.270,15.832
18,0.000,137,137,137,18.541,16.457
19,0.000,140,140,140,17.343,15.728
20,0.000,143,143,143,16.509,14.999
21,0.000,146,146,146,15.754,15.077
22,0.000,134,134,134,16.145,15.754
23,0.000,109,109,109,16.536,16.223
24,0.000,145,145,145,16.900,16.666
25,0.000,143,143,143,17.161,17.369
26,0.000,134,134,134,18.332,17.187
27,0.000,151,151,151,18.671,17.577
28,0.000,100,100,100,18.176,18.176
29,0.000,77,77,77,18.541,18.541
30,0.000,128,128,128,19.036,18.879
31,0.000,116,116,116,19.895,18.254
32,0.000,157,157,157,20.208,17.760
33,0.000,152,152,152,20.598,17.161
34,0.000,113,113,113,19.374,16.874
35,0.000,98,98,98,20.025,16.588
36,0.000,87,87,87,20.728,16.457
37,0.000,83,83,83,21.067,15.963
38,0.000,88,88,88,21.380,15.806
39,0.000,68,68,68,21.093,15.077
40,0.000,86,86,86,21.197,14.556
41,0.000,89,89,89,20.390,13.905
42,0.000,120,120,120,19.973,13.384
43,0.000,95,95,95,19.296,13.072
44,0.000,147,147,147,19.557,12.785
45,0.000,91,91,91,21.067,13.072
46,0.000,116,116,116,20.833,13.358
47,0.000,74,74,74,21.432,13.593
48,0.000,94,94,94,21.380,13.957
49,0.000,60,60,60,22.161,14.374
50,0.000,120,120,120,22.499,13.879
51,0.000,115,115,115,22.708,14.192
52,0.000,148,148,148,22.265,12.994
53,0.000,62,62,62,21.223,11.952
54,0.000,122,122,122,20.338,11.509
55,0.000,95,95,95,19.817,11.666
56,0.000,119,119,119,19.244,11.978
57,0.000,132,132,132,18.306,11.848
58,0.000,73,73,73,18.020,12.238
59,0.000,133,133,133,17.239,12.421
60,0.000,59,59,59,16.978,12.056
61,0.000,130,130,130,16.145,12.395
62,0.000,89,89,89,16.718,12.759
63,0.000,98,98,98,15.676,13.462
64,0.000,112,112,112,14.739,13.436
65,0.000,111,111,111,14.947,12.707
66,0.000,66,66,66,15.181,12.343
67,0.000,175,175,175,16.067,11.509
68,0.000,143,143,143,17.603,10.285
69,0.000,129,129,129,18.098,10.520
70,0.000,89,89,89,18.984,10.520
71,0.000,92,92,92,19.843,10.806
72,0.000,121,121,121,21.067,11.119
73,0.000,152,152,152,21.744,11.197
74,0.000,119,119,119,22.551,11.822
75,0.000,106,106,106,23.619,11.952
76,0.000,56,56,56,23.932,12.004
77,0.000,95,95,95,23.828,13.410
78,0.000,142,142,142,23.202,13.020
79,0.000,124,124,124,23.984,14.140
80,0.000,89,89,89,23.411,14.296
81,0.000,78,78,78,23.020,14.765
82,0.000,139,139,139,23.619,14.947
83,0.000,123,123,123,23.619,15.494
84,0.000,119,119,119,22.786,15.676
85,0.000,113,113,113,22.656,16.301
86,0.000,163,163,163,23.593,16.614
87,0.000,149,149,149,24.374,16.301
88,0.000,139,139,139,24.583,15.650
89,0.000,152,152,152,25.052,14.947
90,0.000,157,157,157,25.078,14.374
91,0.000,100,100,100,24.609,14.114
92,0.000,83,83,83,25.130,13.801
93,0.000,152,152,152,24.843,13.228
94,0.000,95,95,95,25.989,14.114
95,0.000,134,134,134,25.885,14.634
96,0.000,160,160,160,25.911,14.973
97,0.000,148,148,148,25.651,15.442
98,0.000,174,174,174,25.859,15.858
99,0.000,182,182,182,25.338,16.483
100,0.000,138,138,138,26.015,16.666
101,0.000,82,82,82,25.468,17.213
