 ,Area,Mean,Min,Max,X,Y
1,0.000,78,78,78,0.333,7.537
2,0.000,127,127,127,17.296,7.870
3,0.000,87,87,87,8.926,0.537
4,0.000,14,14,14,8.944,15.241
5,0.000,122,122,122,7.296,7.000
6,0.000,120,120,120,6.981,6.167
7,0.000,31,31,31,6.463,6.259
8,0.000,171,171,171,6.463,7.130
9,0.000,227,227,227,7.130,5.481
10,0.000,142,142,142,6.981,4.796
11,0.000,171,171,171,6.463,5.463
12,0.000,155,155,155,5.852,5.407
13,0.000,212,212,212,6.130,4.593
14,0.000,98,98,98,5.463,6.463
15,0.000,157,157,157,6.519,8.185
16,0.000,84,84,84,7.611,8.111
17,0.000,199,199,199,8.556,8.130
18,0.000,226,226,226,8.852,6.963
19,0.000,98,98,98,8.537,5.815
20,0.000,131,131,131,7.889,4.759
21,0.000,205,205,205,8.759,4.907
22,0.000,160,160,160,8.407,4.333
23,0.000,133,133,133,9.352,5.796
24,0.000,102,102,102,9.944,6.519
25,0.000,221,221,221,9.463,7.204
26,0.000,32,32,32,9.407,8.074
27,0.000,116,116,116,10.407,7.722
28,0.000,117,117,117,11.000,7.407
29,0.000,76,76,76,10.463,6.685
30,0.000,78,78,78,10.130,5.481
31,0.000,147,147,147,11.481,5.222
32,0.000,75,75,75,10.463,4.648
33,0.000,50,50,50,9.926,3.574
34,0.000,94,94,94,9.444,4.074
35,0.000,70,70,70,10.389,3.963
36,0.000,138,138,138,12.000,4.667
37,0.000,144,144,144,12.426,4.296
38,0.000,141,141,141,11.130,3.352
39,0.000,190,190,190,12.407,6.648
40,0.000,59,59,59,13.315,6.667
41,0.000,108,108,108,12.944,7.130
42,0.000,130,130,130,12.611,7.722
43,0.000,229,229,229,12.056,8.648
44,0.000,119,119,119,13.315,8.204
45,0.000,185,185,185,13.148,8.944
46,0.000,157,157,157,12.222,9.685
47,0.000,205,205,205,11.426,10.278
48,0.000,196,196,196,11.963,10.574
49,0.000,193,193,193,12.741,10.759
50,0.000,124,124,124,11.667,9.259
51,0.000,122,122,122,10.648,11.537
52,0.000,169,169,169,11.944,11.056
53,0.000,216,216,216,11.241,11.981
54,0.000,199,199,199,10.648,11.019
55,0.000,191,191,191,9.796,10.852
56,0.000,114,114,114,9.519,11.500
57,0.000,166,166,166,9.037,11.056
58,0.000,117,117,117,9.000,10.463
59,0.000,51,51,51,9.704,10.019
60,0.000,160,160,160,9.111,9.759
61,0.000,141,141,141,8.315,10.111
62,0.000,109,109,109,8.500,9.556
63,0.000,208,208,208,7.741,8.870
64,0.000,86,86,86,7.407,9.537
65,0.000,106,106,106,8.778,8.889
66,0.000,73,73,73,9.778,9.093
67,0.000,59,59,59,10.315,9.556
68,0.000,207,207,207,6.852,8.889
69,0.000,80,80,80,6.333,9.444
70,0.000,120,120,120,6.074,9.000
71,0.000,91,91,91,5.704,9.148
72,0.000,153,153,153,6.056,9.870
73,0.000,224,224,224,5.463,10.630
74,0.000,76,76,76,5.241,9.907
75,0.000,158,158,158,4.815,10.519
76,0.000,92,92,92,5.815,7.722
77,0.000,116,116,116,5.389,7.315
78,0.000,103,103,103,6.019,6.685
79,0.000,208,208,208,4.926,7.019
80,0.000,230,230,230,4.037,7.370
81,0.000,28,28,28,3.796,6.074
82,0.000,43,43,43,4.574,5.389
83,0.000,122,122,122,5.056,5.111
84,0.000,122,122,122,8.148,3.333
85,0.000,168,168,168,7.852,2.926
86,0.000,91,91,91,8.704,2.630
87,0.000,142,142,142,10.167,2.796
88,0.000,98,98,98,9.444,3.333
89,0.000,102,102,102,12.852,3.519
90,0.000,127,127,127,12.296,3.222
91,0.000,113,113,113,13.685,3.630
92,0.000,149,149,149,14.611,6.019
93,0.000,172,172,172,14.074,6.630
94,0.000,218,218,218,14.907,6.796
95,0.000,135,135,135,14.019,7.463
96,0.000,106,106,106,13.537,11.130
97,0.000,172,172,172,13.870,10.593
98,0.000,103,103,103,12.870,10.241
99,0.000,215,215,215,10.093,12.833
100,0.000,255,255,255,11.296,12.870
101,0.000,50,50,50,10.500,13.074
102,0.000,163,163,163,7.241,11.963
103,0.000,144,144,144,7.870,12.130
104,0.000,185,185,185,7.093,12.593
105,0.000,166,166,166,6.519,11.426
106,0.000,205,205,205,6.259,11.815
107,0.000,147,147,147,4.981,11.593
