 ,Area,Mean,Min,Max,X,Y
1,0.000,78,78,78,8.287,5.849
2,0.000,59,59,59,8.757,5.841
3,0.000,177,177,177,8.024,5.251
4,0.000,232,232,232,8.534,6.669
5,0.000,232,232,232,9.139,6.335
6,0.000,187,187,187,9.394,6.622
7,0.000,132,132,132,9.713,6.064
8,0.000,187,187,187,9.235,5.904
9,0.000,142,142,142,9.618,6.436
10,0.000,208,208,208,9.835,6.303
11,0.000,175,175,175,10.005,6.127
12,0.000,245,245,245,10.287,6.722
13,0.000,111,111,111,10.159,5.076
14,0.000,47,47,47,10.462,5.777
15,0.000,103,103,103,10.021,6.802
16,0.000,190,190,190,9.676,6.839
17,0.000,103,103,103,9.278,6.919
18,0.000,232,232,232,9.336,7.201
19,0.000,191,191,191,9.782,7.100
20,0.000,180,180,180,9.639,7.466
21,0.000,154,154,154,9.920,7.572
22,0.000,116,116,116,10.404,7.742
23,0.000,103,103,103,10.308,7.057
24,0.000,179,179,179,10.738,7.296
25,0.000,187,187,187,10.946,7.615
26,0.000,120,120,120,10.579,6.754
27,0.000,120,120,120,11.211,6.372
28,0.000,131,131,131,11.046,6.887
29,0.000,128,128,128,11.562,6.866
30,0.000,78,78,78,11.259,7.424
31,0.000,175,175,175,11.939,6.786
32,0.000,138,138,138,11.700,7.402
33,0.000,153,153,153,12.784,6.792
34,0.000,160,160,160,12.794,6.207
35,0.000,251,251,251,11.445,6.064
36,0.000,245,245,245,10.876,6.361
37,0.000,199,199,199,10.489,6.138
38,0.000,161,161,161,9.697,8.040
39,0.000,131,131,131,10.430,8.534
40,0.000,153,153,153,10.611,8.205
41,0.000,208,208,208,9.416,7.912
42,0.000,155,155,155,9.256,7.631
43,0.000,165,165,165,8.624,7.631
44,0.000,242,242,242,8.614,6.876
45,0.000,183,183,183,8.321,6.786
46,0.000,187,187,187,7.939,7.381
47,0.000,172,172,172,7.737,6.409
48,0.000,131,131,131,7.753,5.984
49,0.000,173,173,173,7.493,4.906
50,0.000,186,186,186,7.923,4.157
51,0.000,247,247,247,8.056,3.668
52,0.000,241,241,241,8.555,3.084
53,0.000,206,206,206,8.396,2.340
54,0.000,239,239,239,8.130,2.531
55,0.000,124,124,124,8.295,2.000
56,0.000,246,246,246,7.620,3.131
57,0.000,147,147,147,7.562,3.429
58,0.000,227,227,227,7.997,3.105
59,0.000,224,224,224,7.360,4.465
60,0.000,94,94,94,7.668,4.390
61,0.000,132,132,132,7.503,5.150
62,0.000,183,183,183,6.728,4.954
63,0.000,247,247,247,6.382,5.533
64,0.000,239,239,239,7.131,4.576
65,0.000,243,243,243,6.797,4.401
66,0.000,157,157,157,7.424,3.928
67,0.000,255,255,255,6.823,3.934
68,0.000,204,204,204,7.046,4.167
69,0.000,128,128,128,6.622,5.522
70,0.000,168,168,168,6.940,6.367
71,0.000,199,199,199,7.142,6.308
72,0.000,133,133,133,7.307,7.110
73,0.000,128,128,128,7.684,0.449
74,0.000,103,103,103,7.865,10.159
75,0.000,251,251,251,0.183,5.028
76,0.000,161,161,161,14.855,5.293
77,0.000,246,246,246,5.920,5.070
78,0.000,254,254,254,6.420,4.752
79,0.000,184,184,184,6.154,5.729
80,0.000,165,165,165,5.517,6.441
81,0.000,175,175,175,5.336,5.591
82,0.000,166,166,166,6.707,6.515
83,0.000,219,219,219,9.426,5.272
