 ,Area,Mean,Min,Max,X,Y
1,0.000,37,37,37,8.889,1.484
2,0.000,183,183,183,7.674,17.952
3,0.000,139,139,139,17.258,11.021
4,0.000,44,44,44,1.137,8.542
5,0.000,132,132,132,8.210,8.274
6,0.000,166,166,166,7.531,7.705
7,0.000,128,128,128,7.389,8.431
8,0.000,176,176,176,8.242,8.747
9,0.000,188,188,188,8.431,9.221
10,0.000,140,140,140,7.247,9.095
11,0.000,149,149,149,7.531,9.379
12,0.000,86,86,86,7.232,9.742
13,0.000,176,176,176,6.979,9.489
14,0.000,186,186,186,7.453,10.310
15,0.000,138,138,138,8.242,10.468
16,0.000,109,109,109,8.226,9.963
17,0.000,188,188,188,7.974,9.774
18,0.000,73,73,73,8.163,9.568
19,0.000,152,152,152,8.716,9.695
20,0.000,98,98,98,9.347,11.068
21,0.000,156,156,156,8.984,10.974
22,0.000,58,58,58,8.763,10.374
23,0.000,182,182,182,8.605,10.847
24,0.000,105,105,105,8.810,11.258
25,0.000,105,105,105,8.416,11.479
26,0.000,66,66,66,9.805,11.668
27,0.000,80,80,80,9.837,10.895
28,0.000,213,213,213,11.337,10.879
29,0.000,174,174,174,11.858,10.184
30,0.000,105,105,105,11.384,9.300
31,0.000,221,221,221,10.089,8.968
32,0.000,139,139,139,10.231,9.474
33,0.000,67,67,67,10.958,8.763
34,0.000,191,191,191,10.942,8.037
35,0.000,57,57,57,10.579,7.721
36,0.000,116,116,116,10.010,8.226
37,0.000,114,114,114,8.889,7.232
38,0.000,77,77,77,9.000,8.447
39,0.000,119,119,119,8.968,7.547
40,0.000,33,33,33,8.542,7.500
41,0.000,134,134,134,8.305,7.216
42,0.000,95,95,95,7.958,7.216
43,0.000,89,89,89,7.279,7.358
44,0.000,100,100,100,7.626,6.868
45,0.000,75,75,75,7.074,7.010
46,0.000,165,165,165,7.263,6.158
47,0.000,38,38,38,8.037,6.126
48,0.000,146,146,146,7.453,5.432
49,0.000,107,107,107,6.426,5.495
50,0.000,93,93,93,6.300,6.932
51,0.000,62,62,62,6.205,7.453
52,0.000,143,143,143,6.489,7.579
53,0.000,77,77,77,6.805,8.258
54,0.000,154,154,154,6.158,7.816
55,0.000,87,87,87,6.758,8.605
56,0.000,134,134,134,6.316,8.447
57,0.000,186,186,186,6.158,8.653
58,0.000,169,169,169,6.616,8.984
59,0.000,94,94,94,5.747,8.321
60,0.000,151,151,151,5.842,8.921
61,0.000,214,214,214,9.947,10.026
62,0.000,92,92,92,10.831,10.689
63,0.000,109,109,109,10.579,11.826
64,0.000,210,210,210,11.763,12.031
65,0.000,177,177,177,11.400,13.152
66,0.000,214,214,214,11.716,13.784
67,0.000,208,208,208,9.584,13.358
68,0.000,101,101,101,9.142,12.347
69,0.000,208,208,208,8.589,12.489
70,0.000,84,84,84,7.437,12.221
71,0.000,185,185,185,7.847,11.574
72,0.000,178,178,178,7.721,11.368
73,0.000,226,226,226,7.216,11.668
74,0.000,182,182,182,7.074,11.226
75,0.000,141,141,141,7.389,10.847
76,0.000,141,141,141,6.426,10.800
77,0.000,124,124,124,6.884,10.563
78,0.000,132,132,132,6.079,10.089
79,0.000,142,142,142,5.763,9.489
80,0.000,122,122,122,5.463,9.947
81,0.000,197,197,197,11.779,7.926
82,0.000,134,134,134,11.810,8.463
83,0.000,35,35,35,12.552,8.510
84,0.000,60,60,60,13.105,8.337
85,0.000,31,31,31,12.395,8.068
86,0.000,50,50,50,5.100,7.342
87,0.000,110,110,110,5.589,6.758
88,0.000,53,53,53,5.905,6.395
89,0.000,94,94,94,5.305,7.942
90,0.000,170,170,170,4.626,8.542
91,0.000,115,115,115,4.879,9.395
92,0.000,134,134,134,3.916,8.210
93,0.000,161,161,161,5.132,10.926
94,0.000,125,125,125,5.858,10.989
95,0.000,156,156,156,6.253,11.274
96,0.000,150,150,150,6.253,11.842
97,0.000,140,140,140,6.853,12.316
