 ,Area,Mean,Min,Max,X,Y
1,0.000,164,164,164,0.389,7.630
2,0.000,135,135,135,15.315,7.759
3,0.000,62,62,62,7.907,0.537
4,0.000,130,130,130,8.222,15.556
5,0.000,253,253,253,7.630,9.685
6,0.000,201,201,201,8.111,9.759
7,0.000,133,133,133,8.167,9.222
8,0.000,138,138,138,8.593,8.981
9,0.000,255,255,255,8.944,9.278
10,0.000,183,183,183,8.815,9.741
11,0.000,203,203,203,9.537,9.407
12,0.000,135,135,135,9.444,8.796
13,0.000,237,237,237,8.296,7.981
14,0.000,167,167,167,7.907,8.148
15,0.000,242,242,242,7.889,7.481
16,0.000,177,177,177,7.259,7.759
17,0.000,231,231,231,7.019,8.611
18,0.000,161,161,161,6.204,10.000
19,0.000,203,203,203,6.167,9.389
20,0.000,115,115,115,6.685,9.685
21,0.000,255,255,255,6.537,9.056
22,0.000,234,234,234,7.204,10.130
23,0.000,131,131,131,8.037,10.667
24,0.000,213,213,213,8.500,10.741
25,0.000,222,222,222,8.778,10.352
26,0.000,232,232,232,9.333,10.296
27,0.000,255,255,255,9.481,10.815
28,0.000,205,205,205,9.130,11.019
29,0.000,213,213,213,8.574,11.519
30,0.000,242,242,242,9.630,11.500
31,0.000,52,52,52,10.167,10.852
32,0.000,221,221,221,10.556,10.907
33,0.000,216,216,216,10.852,10.574
34,0.000,169,169,169,11.500,10.630
35,0.000,125,125,125,11.204,10.019
36,0.000,92,92,92,11.852,9.907
37,0.000,206,206,206,12.333,10.000
38,0.000,50,50,50,11.963,10.556
39,0.000,148,148,148,7.352,6.574
40,0.000,63,63,63,7.889,6.463
41,0.000,114,114,114,7.704,6.926
42,0.000,131,131,131,8.648,6.407
43,0.000,211,211,211,9.296,6.296
44,0.000,205,205,205,8.370,5.574
45,0.000,174,174,174,8.630,5.185
46,0.000,216,216,216,8.130,5.444
47,0.000,248,248,248,7.778,5.056
48,0.000,154,154,154,7.815,4.333
49,0.000,140,140,140,8.667,4.500
50,0.000,99,99,99,9.407,4.926
51,0.000,198,198,198,6.648,5.722
52,0.000,105,105,105,7.315,5.574
53,0.000,159,159,159,6.556,4.704
54,0.000,140,140,140,9.426,3.741
55,0.000,128,128,128,9.241,4.148
56,0.000,110,110,110,8.481,3.704
57,0.000,133,133,133,10.481,5.463
58,0.000,104,104,104,11.204,5.685
59,0.000,226,226,226,10.593,6.333
60,0.000,201,201,201,10.963,4.815
61,0.000,213,213,213,5.537,6.222
62,0.000,109,109,109,6.167,6.407
63,0.000,193,193,193,6.000,6.981
64,0.000,222,222,222,5.426,6.889
65,0.000,138,138,138,5.778,5.259
66,0.000,180,180,180,5.963,4.167
67,0.000,162,162,162,5.370,3.630
68,0.000,123,123,123,5.963,3.648
69,0.000,118,118,118,6.315,2.944
70,0.000,117,117,117,6.704,3.444
71,0.000,89,89,89,6.037,8.296
72,0.000,135,135,135,6.944,10.685
73,0.000,159,159,159,10.796,3.981
74,0.000,169,169,169,10.037,4.185
75,0.000,44,44,44,10.389,4.667
76,0.000,140,140,140,11.667,3.722
77,0.000,159,159,159,11.519,4.296
78,0.000,255,255,255,11.759,11.222
79,0.000,187,187,187,12.833,10.796
