 ,Area,Mean,Min,Max,X,Y
1,0.000,227,227,227,0.244,7.413
2,0.000,105,105,105,17.355,7.500
3,0.000,130,130,130,8.581,0.401
4,0.000,124,124,124,9.628,14.616
5,0.000,90,90,90,10.116,6.994
6,0.000,123,123,123,9.523,7.483
7,0.000,147,147,147,10.343,7.709
8,0.000,151,151,151,9.366,8.198
9,0.000,224,224,224,8.860,8.023
10,0.000,127,127,127,7.709,7.674
11,0.000,169,169,169,7.273,7.517
12,0.000,210,210,210,7.395,8.006
13,0.000,129,129,129,6.523,8.198
14,0.000,165,165,165,6.924,8.651
15,0.000,175,175,175,7.552,8.703
16,0.000,163,163,163,8.110,9.052
17,0.000,138,138,138,7.256,9.279
18,0.000,182,182,182,7.622,9.907
19,0.000,114,114,114,5.773,8.424
20,0.000,184,184,184,6.767,10.029
21,0.000,184,184,184,5.965,10.047
22,0.000,222,222,222,6.174,10.727
23,0.000,180,180,180,7.081,11.023
24,0.000,131,131,131,6.767,11.215
25,0.000,109,109,109,8.599,10.587
26,0.000,149,149,149,9.872,10.674
27,0.000,166,166,166,8.616,9.994
28,0.000,155,155,155,10.029,9.994
29,0.000,115,115,115,10.448,9.733
30,0.000,114,114,114,10.395,9.227
31,0.000,212,212,212,9.680,9.087
32,0.000,178,178,178,10.326,8.442
33,0.000,209,209,209,11.477,8.355
34,0.000,171,171,171,11.076,9.000
35,0.000,148,148,148,11.965,8.721
36,0.000,178,178,178,9.140,11.547
37,0.000,192,192,192,8.843,11.041
38,0.000,80,80,80,8.302,11.424
39,0.000,153,153,153,8.634,11.930
40,0.000,153,153,153,8.703,12.436
41,0.000,144,144,144,9.227,12.087
42,0.000,139,139,139,9.733,12.279
43,0.000,128,128,128,7.378,6.331
44,0.000,244,244,244,7.587,6.837
45,0.000,209,209,209,7.971,6.471
46,0.000,149,149,149,5.477,2.895
47,0.000,172,172,172,5.459,3.314
48,0.000,77,77,77,6.122,3.035
49,0.000,180,180,180,9.000,1.936
50,0.000,197,197,197,8.424,2.791
51,0.000,229,229,229,9.558,2.477
52,0.000,241,241,241,9.157,3.331
53,0.000,100,100,100,10.343,3.279
54,0.000,126,126,126,10.884,2.564
55,0.000,184,184,184,10.012,2.076
56,0.000,124,124,124,11.616,3.506
57,0.000,197,197,197,11.250,4.064
58,0.000,241,241,241,12.000,4.448
59,0.000,137,137,137,12.070,4.012
60,0.000,161,161,161,13.116,8.477
61,0.000,138,138,138,12.576,8.948
62,0.000,96,96,96,13.134,9.174
63,0.000,161,161,161,13.081,10.343
64,0.000,163,163,163,14.198,9.349
65,0.000,175,175,175,13.866,8.651
66,0.000,99,99,99,13.552,9.593
67,0.000,184,184,184,14.703,7.919
68,0.000,134,134,134,14.983,7.517
69,0.000,224,224,224,14.599,7.256
70,0.000,131,131,131,15.750,7.866
71,0.000,148,148,148,14.983,8.320
72,0.000,105,105,105,6.453,6.000
73,0.000,156,156,156,6.035,5.843
74,0.000,100,100,100,6.244,6.471
75,0.000,196,196,196,5.006,7.849
76,0.000,184,184,184,4.500,7.866
77,0.000,200,200,200,4.395,8.547
78,0.000,176,176,176,3.733,9.017
79,0.000,204,204,204,3.558,9.419
80,0.000,114,114,114,4.465,9.488
81,0.000,166,166,166,4.535,10.081
82,0.000,168,168,168,4.483,10.570
83,0.000,119,119,119,3.942,9.994
84,0.000,152,152,152,4.657,11.285
85,0.000,186,186,186,4.465,11.895
86,0.000,188,188,188,5.233,11.512
87,0.000,165,165,165,3.890,10.727
88,0.000,126,126,126,9.558,13.291
89,0.000,151,151,151,9.924,12.924
90,0.000,186,186,186,11.215,12.994
91,0.000,87,87,87,11.948,12.453
92,0.000,118,118,118,10.814,12.297
