 ,Area,Mean,Min,Max,X,Y
1,0.000,138,138,138,6.214,5.748
2,0.000,125,125,125,8.079,5.418
3,0.000,92,92,92,7.454,4.667
4,0.000,152,152,152,7.192,5.304
5,0.000,141,141,141,8.398,6.123
6,0.000,107,107,107,9.728,6.510
7,0.000,152,152,152,9.239,5.327
8,0.000,148,148,148,8.762,7.533
9,0.000,92,92,92,10.411,6.123
10,0.000,120,120,120,11.423,6.407
11,0.000,130,130,130,11.036,5.714
12,0.000,138,138,138,10.263,5.611
13,0.000,105,105,105,10.707,5.179
14,0.000,136,136,136,8.568,4.497
15,0.000,125,125,125,6.965,4.281
16,0.000,86,86,86,5.361,4.292
17,0.000,121,121,121,6.237,3.860
18,0.000,114,114,114,7.488,3.621
19,0.000,147,147,147,9.353,3.473
20,0.000,79,79,79,7.897,2.950
21,0.000,96,96,96,10.684,4.315
22,0.000,93,93,93,11.446,4.963
23,0.000,110,110,110,12.140,7.033
24,0.000,147,147,147,10.263,7.226
25,0.000,149,149,149,9.933,7.840
26,0.000,127,127,127,11.491,7.840
27,0.000,142,142,142,11.423,8.557
28,0.000,111,111,111,12.777,7.681
29,0.000,98,98,98,10.502,8.932
30,0.000,142,142,142,9.387,8.728
31,0.000,85,85,85,9.637,9.387
32,0.000,156,156,156,8.421,8.739
33,0.000,163,163,163,8.603,8.102
34,0.000,98,98,98,8.079,7.715
35,0.000,170,170,170,8.159,8.386
36,0.000,152,152,152,7.579,7.602
37,0.000,155,155,155,7.351,7.795
38,0.000,125,125,125,7.249,7.351
39,0.000,97,97,97,6.840,7.511
40,0.000,152,152,152,7.943,6.783
41,0.000,106,106,106,7.215,6.442
42,0.000,109,109,109,6.351,6.419
43,0.000,98,98,98,6.055,7.204
44,0.000,127,127,127,6.407,6.771
45,0.000,155,155,155,5.020,6.794
46,0.000,152,152,152,5.429,7.249
47,0.000,109,109,109,7.659,9.512
48,0.000,106,106,106,10.070,10.172
49,0.000,125,125,125,9.308,9.831
50,0.000,71,71,71,8.364,10.445
51,0.000,103,103,103,8.830,10.980
52,0.000,80,80,80,10.980,9.626
53,0.000,118,118,118,12.140,10.206
54,0.000,134,134,134,12.435,9.865
55,0.000,88,88,88,12.981,9.456
56,0.000,91,91,91,12.401,9.001
57,0.000,106,106,106,11.776,9.365
58,0.000,150,150,150,4.770,5.100
59,0.000,123,123,123,4.269,4.895
60,0.000,146,146,146,4.519,4.053
61,0.000,85,85,85,5.270,3.689
62,0.000,143,143,143,4.269,7.101
63,0.000,146,146,146,4.383,7.545
64,0.000,80,80,80,8.455,0.732
65,0.000,84,84,84,8.330,14.005
66,0.000,94,94,94,15.870,7.295
67,0.000,105,105,105,0.823,7.056
68,0.000,125,125,125,5.566,8.102
69,0.000,104,104,104,5.532,9.046
70,0.000,86,86,86,6.385,8.546
71,0.000,106,106,106,7.215,8.568
72,0.000,55,55,55,5.247,9.774
73,0.000,127,127,127,6.453,9.865
74,0.000,76,76,76,5.600,10.490
75,0.000,61,61,61,11.139,6.999
76,0.000,105,105,105,12.424,6.112
77,0.000,143,143,143,4.895,5.873
78,0.000,168,168,168,4.087,5.975
79,0.000,143,143,143,4.918,6.316
80,0.000,114,114,114,6.646,5.998
81,0.000,88,88,88,10.752,10.741
82,0.000,111,111,111,11.582,11.036
83,0.000,112,112,112,10.183,11.355
84,0.000,101,101,101,9.262,11.685
85,0.000,83,83,83,13.015,10.559
