 ,Area,Mean,Min,Max,X,Y
1,0.000,129,129,129,7.131,6.237
2,0.000,140,140,140,6.632,7.268
3,0.000,167,167,167,8.230,6.357
4,0.000,141,141,141,7.302,8.574
5,0.000,106,106,106,8.471,7.646
6,0.000,188,188,188,10.309,8.076
7,0.000,131,131,131,9.175,9.158
8,0.000,166,166,166,7.646,9.914
9,0.000,147,147,147,5.756,8.591
10,0.000,124,124,124,6.942,10.412
11,0.000,150,150,150,4.742,11.151
12,0.000,130,130,130,4.845,10.017
13,0.000,157,157,157,4.330,9.021
14,0.000,152,152,152,4.055,10.034
15,0.000,152,152,152,5.636,9.381
16,0.000,97,97,97,7.182,11.357
17,0.000,134,134,134,7.199,12.835
18,0.000,119,119,119,5.842,12.285
19,0.000,166,166,166,8.230,12.182
20,0.000,109,109,109,8.729,10.911
21,0.000,89,89,89,10.155,11.100
22,0.000,125,125,125,9.605,12.560
23,0.000,148,148,148,9.966,9.742
24,0.000,157,157,157,11.014,8.763
25,0.000,123,123,123,11.529,9.605
26,0.000,119,119,119,12.371,7.955
27,0.000,114,114,114,9.931,7.079
28,0.000,98,98,98,8.540,5.567
29,0.000,138,138,138,11.186,6.718
30,0.000,115,115,115,10.619,6.014
31,0.000,107,107,107,11.357,5.172
32,0.000,140,140,140,11.959,6.186
33,0.000,112,112,112,12.904,6.186
34,0.000,192,192,192,13.471,8.849
35,0.000,96,96,96,14.605,8.265
36,0.000,83,83,83,14.639,9.364
37,0.000,149,149,149,13.557,9.639
38,0.000,109,109,109,14.261,10.653
39,0.000,161,161,161,12.732,10.945
40,0.000,164,164,164,11.357,10.722
41,0.000,140,140,140,11.735,12.388
42,0.000,143,143,143,13.540,12.010
43,0.000,163,163,163,15.842,10.017
44,0.000,88,88,88,12.234,5.172
45,0.000,100,100,100,11.512,4.364
46,0.000,104,104,104,8.385,3.832
47,0.000,106,106,106,7.749,4.416
48,0.000,125,125,125,6.409,5.498
49,0.000,183,183,183,4.914,6.271
50,0.000,107,107,107,5.636,6.976
51,0.000,139,139,139,5.945,11.340
52,0.000,124,124,124,7.595,13.900
53,0.000,133,133,133,8.746,13.849
54,0.000,152,152,152,10.017,13.660
55,0.000,158,158,158,11.375,13.625
56,0.000,129,129,129,12.663,13.574
57,0.000,75,75,75,9.416,1.048
58,0.000,80,80,80,10.189,17.320
59,0.000,79,79,79,0.739,8.952
60,0.000,97,97,97,16.993,8.918
