 ,Area,Mean,Min,Max,X,Y
1,0.000,39,39,39,20.543,1.304
2,0.000,37,37,37,21.242,38.478
3,0.000,29,29,29,3.727,19.612
4,0.000,39,39,39,38.478,20.311
5,0.000,118,118,118,21.568,17.748
6,0.000,153,153,153,22.220,17.702
7,0.000,165,165,165,22.314,18.494
8,0.000,137,137,137,22.826,17.609
9,0.000,68,68,68,23.199,18.261
10,0.000,128,128,128,23.199,17.003
11,0.000,39,39,39,21.196,17.050
12,0.000,90,90,90,21.522,16.211
13,0.000,153,153,153,21.056,15.745
14,0.000,92,92,92,19.938,16.444
15,0.000,104,104,104,19.891,15.932
16,0.000,88,88,88,21.335,15.233
17,0.000,128,128,128,20.404,15.233
18,0.000,137,137,137,20.078,14.860
19,0.000,80,80,80,19.332,15.326
20,0.000,106,106,106,22.547,15.466
21,0.000,49,49,49,22.686,16.398
22,0.000,72,72,72,23.338,15.466
23,0.000,100,100,100,24.829,16.724
24,0.000,118,118,118,24.689,17.562
25,0.000,55,55,55,24.410,18.587
26,0.000,82,82,82,26.180,18.214
27,0.000,80,80,80,25.621,18.866
28,0.000,41,41,41,25.947,19.845
29,0.000,70,70,70,25.016,19.984
30,0.000,126,126,126,23.758,19.798
31,0.000,64,64,64,22.407,20.031
32,0.000,116,116,116,21.894,19.425
33,0.000,78,78,78,21.056,19.565
34,0.000,102,102,102,20.637,18.447
35,0.000,39,39,39,20.124,17.935
36,0.000,110,110,110,19.425,17.469
37,0.000,102,102,102,19.146,17.935
38,0.000,25,25,25,18.540,16.957
39,0.000,61,61,61,18.680,16.351
40,0.000,210,210,210,17.702,16.537
41,0.000,61,61,61,18.261,15.419
42,0.000,165,165,165,18.634,14.488
43,0.000,72,72,72,19.286,13.835
44,0.000,84,84,84,20.637,14.115
45,0.000,112,112,112,20.916,13.463
46,0.000,151,151,151,21.755,14.394
47,0.000,179,179,179,23.012,13.835
48,0.000,76,76,76,22.640,13.556
49,0.000,128,128,128,24.130,15.047
50,0.000,100,100,100,25.342,15.512
51,0.000,118,118,118,26.460,15.140
52,0.000,84,84,84,26.320,16.304
53,0.000,106,106,106,27.671,15.792
54,0.000,74,74,74,25.342,13.929
55,0.000,80,80,80,26.273,13.929
56,0.000,128,128,128,24.457,14.022
57,0.000,92,92,92,24.457,12.764
58,0.000,120,120,120,23.665,12.717
59,0.000,84,84,84,22.453,12.438
60,0.000,139,139,139,21.708,12.158
61,0.000,94,94,94,20.124,12.904
62,0.000,126,126,126,19.006,12.578
63,0.000,92,92,92,18.727,13.090
64,0.000,200,200,200,18.401,13.509
65,0.000,120,120,120,16.770,13.929
66,0.000,131,131,131,17.283,15.326
67,0.000,161,161,161,17.050,15.932
68,0.000,116,116,116,16.444,15.652
69,0.000,194,194,194,17.050,16.957
70,0.000,157,157,157,16.258,17.469
71,0.000,165,165,165,18.447,18.494
72,0.000,196,196,196,18.401,19.379
73,0.000,104,104,104,17.516,19.798
74,0.000,124,124,124,16.817,19.286
75,0.000,133,133,133,16.537,18.866
76,0.000,147,147,147,15.652,18.680
77,0.000,96,96,96,15.466,17.795
78,0.000,165,165,165,15.466,17.329
79,0.000,192,192,192,15.047,17.050
80,0.000,70,70,70,15.745,16.630
81,0.000,165,165,165,15.279,15.699
