 ,Area,Mean,Min,Max,X,Y
1,0.000,176,176,176,11.274,12.284
2,0.000,206,206,206,13.226,8.995
3,0.000,63,63,63,12.616,10.826
4,0.000,190,190,190,11.310,10.405
5,0.000,190,190,190,14.784,8.342
6,0.000,225,225,225,12.931,6.847
7,0.000,123,123,123,10.300,8.216
8,0.000,213,213,213,7.963,11.268
9,0.000,164,164,164,8.342,13.879
10,0.000,172,172,172,13.816,12.068
11,0.000,200,200,200,17.647,7.626
12,0.000,116,116,116,17.037,8.616
13,0.000,117,117,117,18.321,8.174
14,0.000,149,149,149,19.289,9.416
15,0.000,99,99,99,18.131,10.763
16,0.000,183,183,183,17.500,11.353
17,0.000,79,79,79,16.679,11.900
18,0.000,178,178,178,13.247,15.289
19,0.000,221,221,221,10.658,13.310
20,0.000,147,147,147,9.816,15.268
21,0.000,101,101,101,8.258,15.605
22,0.000,121,121,121,8.805,17.458
23,0.000,131,131,131,11.689,16.847
24,0.000,161,161,161,9.900,16.574
25,0.000,173,173,173,17.689,13.226
26,0.000,166,166,166,15.479,16.005
27,0.000,100,100,100,13.395,17.963
28,0.000,145,145,145,12.489,18.047
29,0.000,138,138,138,10.763,19.795
30,0.000,206,206,206,8.974,7.521
31,0.000,181,181,181,10.805,5.458
32,0.000,110,110,110,12.237,5.963
33,0.000,86,86,86,14.805,4.974
34,0.000,188,188,188,16.595,5.900
35,0.000,143,143,143,7.816,12.510
36,0.000,194,194,194,6.426,14.721
37,0.000,132,132,132,6.384,15.942
38,0.000,194,194,194,5.100,16.237
39,0.000,185,185,185,6.468,12.489
40,0.000,149,149,149,5.268,10.742
41,0.000,168,168,168,6.468,9.984
42,0.000,214,214,214,4.805,9.121
43,0.000,224,224,224,6.405,9.395
44,0.000,121,121,121,6.405,8.005
45,0.000,136,136,136,6.616,6.363
46,0.000,179,179,179,9.121,6.216
47,0.000,176,176,176,7.837,5.079
48,0.000,134,134,134,11.458,3.521
49,0.000,220,220,220,6.447,4.005
50,0.000,195,195,195,6.489,5.479
51,0.000,145,145,145,8.531,4.089
52,0.000,210,210,210,9.605,3.458
53,0.000,205,205,205,11.500,4.363
54,0.000,114,114,114,9.647,11.731
55,0.000,172,172,172,10.889,0.153
56,0.000,131,131,131,10.826,21.016
57,0.000,178,178,178,0.216,9.921
58,0.000,126,126,126,21.984,10.153
59,0.000,207,207,207,3.963,13.163
60,0.000,142,142,142,5.732,11.731
61,0.000,74,74,74,10.700,6.847
62,0.000,196,196,196,14.089,6.658
