 ,Area,Mean,Min,Max,X,Y
1,0.000,42,42,42,0.606,6.878
2,0.000,100,100,100,16.787,7.723
3,0.000,62,62,62,9.064,0.271
4,0.000,91,91,91,9.191,15.383
5,0.000,168,168,168,7.005,8.441
6,0.000,119,119,119,6.734,8.920
7,0.000,116,116,116,6.989,9.383
8,0.000,170,170,170,7.580,8.824
9,0.000,134,134,134,8.043,8.473
10,0.000,110,110,110,8.601,8.266
11,0.000,163,163,163,8.793,8.633
12,0.000,95,95,95,8.170,7.340
13,0.000,87,87,87,7.707,7.548
14,0.000,107,107,107,8.266,7.867
15,0.000,137,137,137,9.000,6.830
16,0.000,141,141,141,7.851,6.718
17,0.000,155,155,155,9.830,7.452
18,0.000,176,176,176,9.255,8.154
19,0.000,100,100,100,9.559,9.096
20,0.000,181,181,181,8.346,9.479
21,0.000,123,123,123,9.239,9.878
22,0.000,185,185,185,8.793,10.436
23,0.000,199,199,199,7.755,9.973
24,0.000,98,98,98,9.495,10.755
25,0.000,143,143,143,10.356,10.468
26,0.000,132,132,132,11.027,10.340
27,0.000,98,98,98,10.676,10.005
28,0.000,170,170,170,10.947,10.819
29,0.000,183,183,183,10.612,11.521
30,0.000,200,200,200,10.101,11.234
31,0.000,92,92,92,9.160,11.729
32,0.000,149,149,149,8.713,11.441
33,0.000,94,94,94,8.713,12.399
34,0.000,100,100,100,8.298,11.920
35,0.000,84,84,84,10.340,6.622
36,0.000,101,101,101,10.723,8.426
37,0.000,140,140,140,10.516,8.904
38,0.000,118,118,118,10.883,9.128
39,0.000,98,98,98,11.250,8.761
40,0.000,109,109,109,11.330,11.856
41,0.000,122,122,122,10.963,12.223
42,0.000,118,118,118,11.074,11.569
43,0.000,95,95,95,10.149,12.064
44,0.000,133,133,133,9.351,12.207
45,0.000,175,175,175,7.468,12.319
46,0.000,130,130,130,7.963,12.670
47,0.000,142,142,142,7.005,12.702
48,0.000,147,147,147,7.261,13.516
49,0.000,188,188,188,7.691,13.085
50,0.000,46,46,46,9.479,13.340
51,0.000,122,122,122,10.133,13.516
52,0.000,159,159,159,9.989,14.090
53,0.000,76,76,76,9.447,13.867
54,0.000,115,115,115,8.745,14.106
55,0.000,152,152,152,9.191,14.553
56,0.000,79,79,79,7.707,14.394
57,0.000,134,134,134,8.106,13.644
58,0.000,164,164,164,11.043,13.739
59,0.000,150,150,150,10.723,14.505
60,0.000,106,106,106,10.867,13.181
61,0.000,110,110,110,11.489,13.420
62,0.000,140,140,140,11.521,12.702
63,0.000,142,142,142,12.543,12.032
64,0.000,192,192,192,12.064,11.761
65,0.000,140,140,140,11.984,12.543
66,0.000,134,134,134,13.069,11.697
67,0.000,146,146,146,12.862,11.346
68,0.000,158,158,158,13.404,11.043
69,0.000,143,143,143,12.862,10.835
70,0.000,152,152,152,12.287,10.723
71,0.000,109,109,109,6.144,12.814
72,0.000,100,100,100,6.527,13.452
73,0.000,170,170,170,5.633,12.383
74,0.000,106,106,106,5.505,11.553
75,0.000,169,169,169,4.803,11.936
