 ,Area,Mean,Min,Max,X,Y
1,0.000,203,203,203,3.889,6.256
2,0.000,150,150,150,4.006,5.833
3,0.000,202,202,202,4.391,5.856
4,0.000,232,232,232,4.304,6.076
5,0.000,233,233,233,4.477,6.225
6,0.000,211,211,211,4.571,6.029
7,0.000,150,150,150,4.720,6.045
8,0.000,217,217,217,4.767,5.645
9,0.000,202,202,202,4.853,5.308
10,0.000,128,128,128,5.057,5.535
11,0.000,171,171,171,4.398,5.378
12,0.000,214,214,214,4.124,5.629
13,0.000,238,238,238,4.046,5.441
14,0.000,241,241,241,3.716,5.080
15,0.000,236,236,236,3.834,4.947
16,0.000,218,218,218,3.763,4.767
17,0.000,230,230,230,4.430,4.830
18,0.000,155,155,155,4.587,5.104
19,0.000,239,239,239,4.869,5.127
20,0.000,78,78,78,4.892,4.853
21,0.000,216,216,216,4.265,4.618
22,0.000,194,194,194,4.077,4.610
23,0.000,238,238,238,3.967,4.296
24,0.000,149,149,149,4.304,4.414
25,0.000,246,246,246,4.555,4.265
26,0.000,240,240,240,3.575,4.610
27,0.000,193,193,193,3.121,4.398
28,0.000,212,212,212,3.223,5.096
29,0.000,214,214,214,3.419,4.892
30,0.000,247,247,247,2.744,4.775
31,0.000,145,145,145,2.454,5.033
32,0.000,153,153,153,2.917,5.512
33,0.000,241,241,241,2.533,5.653
34,0.000,239,239,239,2.541,5.300
35,0.000,105,105,105,3.952,6.742
36,0.000,192,192,192,4.273,6.554
37,0.000,235,235,235,4.665,6.507
38,0.000,237,237,237,5.214,6.930
39,0.000,214,214,214,4.924,6.374
40,0.000,206,206,206,5.762,6.601
41,0.000,239,239,239,5.621,6.201
42,0.000,81,81,81,5.308,5.888
43,0.000,203,203,203,5.449,5.574
44,0.000,195,195,195,5.786,5.935
45,0.000,234,234,234,5.943,5.559
46,0.000,229,229,229,5.684,7.103
47,0.000,234,234,234,6.005,6.876
48,0.000,225,225,225,6.358,7.220
49,0.000,232,232,232,6.750,7.056
50,0.000,211,211,211,6.303,6.609
51,0.000,207,207,207,7.134,6.515
52,0.000,215,215,215,7.463,6.609
53,0.000,206,206,206,7.001,6.797
54,0.000,230,230,230,7.307,6.194
55,0.000,173,173,173,6.546,6.021
56,0.000,180,180,180,5.958,6.170
57,0.000,239,239,239,5.637,7.479
58,0.000,202,202,202,6.460,7.479
59,0.000,207,207,207,7.126,7.267
60,0.000,249,249,249,6.891,7.487
61,0.000,230,230,230,7.510,7.573
62,0.000,239,239,239,6.123,7.871
63,0.000,145,145,145,5.253,7.761
64,0.000,133,133,133,5.402,7.314
65,0.000,245,245,245,4.657,7.659
66,0.000,222,222,222,4.602,7.142
67,0.000,243,243,243,4.187,7.424
68,0.000,156,156,156,3.928,7.236
69,0.000,249,249,249,3.646,6.805
70,0.000,232,232,232,3.552,7.205
71,0.000,208,208,208,3.262,6.538
72,0.000,70,70,70,5.104,4.022
73,0.000,182,182,182,4.861,4.351
74,0.000,252,252,252,5.151,0.887
75,0.000,235,235,235,4.712,10.144
76,0.000,64,64,64,0.432,4.924
77,0.000,189,189,189,9.588,5.135
